Book Name,ISBN-13,Weight (g),Dimensions,Pages,Original Price,Condition,Sold For,
"ANTIGONE Pocket Book – June 8 2016
French edition",978-2710381419,90.7,11.2 x 0.8 x 18 cm,128,12.95,Perfect,,
JOURNAL D'ANNE FRANK: JOURNAL D'ANNE FRANK Pocket Book,978-2253073093,100,11 x 1.5 x 17.8 cm,368,13.95,Lightly Used,,
La Vénus d'Ille et autres nouvelles: La Vénus d'Ille,978-2081207226,N/A,N/A,N/A,6.95,Perfect,,
RAPPORT MINORITAIRE : SOUVENIRS À VENDRE Pocket Book – June 4 2009,978-2070399314,159,17.7 x 0.9 x 22 cm,272,20.95,Lightly Used,,
The Tempest Signet Classics Newly Revised Edition,978-0451527127,138,10.64 x 1.57 x 17.3 cm,288,5.5,Perfect,,
Lord of the Flies,978-0571084838,176,11.94 x 2.03 x 18.29 cm,240,14.5,Perfect,,
TRANSMATH MATHEMATIQUES 3E 2016 - MANUEL ELEVE GRAND FORMAT Paperback,978-2091719184,700,20.3 x 1.6 x 28.2 cm,271,44.95,Perfect,,
Sciences et technologie - Perspectives 7 Les structures : formes et fonctions,978-2896501441,N/A,N/A,N/A,26.19,Perfect,,
Sciences et technologie - Perspectives 8 La cellule,978-2896502486,N/A,N/A,N/A,19.94,Perfect,,
Sciences et technologie - Perspectives 8 La fluides,978-2896501526,N/A,N/A,N/A,19.94,Perfect,,
Sciences et technologie - Perspectives 7 Les substances pures et melanges,978-2896502459,N/A,N/A,N/A,19.94,Perfect,,
Sciences et technologie - Perspectives 8 La chaleur dans l'environement,978-2896502462,N/A,N/A,N/A,19.94,Perfect,,
OMNIMATHS 10 (EDITION DE L`ONTARIO) Hardcover – Jan. 1 2000,978-2894613184,1200,N/A,N/A,74.99,Perfect,,
Histoire Géographie EMC 4e - GF livre de l'élève Paperback – Sept. 27 2019,978-2701197029,1000,22.7 x 1.3 x 28.7 cm,370,58.95,Perfect,,
Histoire Géographie EMC 4e - GF livre de l'élève Paperback – Sept. 27 2019,978-270119702,1000,22.7 x 1.3 x 28.7 cm,370,58.95,Perfect,,
"Carrefour des sciences 10 - STSE
Manuel de l'élève",978-2765105671,N/A,N/A,N/A,165.95,Perfect,,
PRINCIPES DE MATHEMATIQUES 9 Hardcover – Jan. 1 2007,978-2765105060,717,N/A,596,54,Perfect,,
"Français 5e Cycle 4 - Manuel élève - Grand Format
Edition 2016",979-1090910157,590,"17,0 cm × 25,0 cm × 1,5 cm",N/A,42,Lightly Used,,
HistGeo 6e,978-2701197005,900,22.5 x 1.3 x 28.6 cm,352,51.81,Lightly Used,,
HistGeo 5e,978-2701197012,980,22.7 x 1.3 x 28.5 cm,368,88.01,Lightly Used,,
Western Wind An Introduction to Poetry 5th EDITION Paperback,978-0072819595,358,N/A,N/A,45,Lightly Used,,
Lire et s'Entraîner: Les Trois Mousquetaires Paperback,978-2761334945,181,N/A,N/A,12.05,Lightly Used,,https://www.amazon.ca/Trois-mousquetaires-lire-ent-lavande-02/dp/2761334949
HistGeo 3e,"978-2701197036
",1160,22.8 x 1.8 x 29.1 cm,449,53.29,Lightly Used,,
"Grammaire - Cahier d'exercices, 6e Paperback – April 27 2011
French edition",978-2218946332,299,19 x 0.5 x 28 cm,129,14.95,Lightly Used,,
"Mathématiques 3000, 3e secondaire, cahier d'exercices tome 3 (Math 306) Paperback – Jan. 1 2007",978-2760169357,N/A,N/A,N/A,64.13,Perfect,,
MACBETH Paperback – Jan. 20 2014,978-1107615496,391,20.32 x 0.64 x 25.4 cm,200,15.95,Perfect,,
"MAKING CONNECTIONS (ENJEUX GEOGRAPHIES DU CANADA) FRENCH STUDENT BOOK, 3rd Edition Hardcover – Jan. 1 2015
by Pearson Canada",978-0134331324,717,N/A,N/A,120.95,Perfect,,
"Mathématiques collection zenius 4e : Manuel grand format Pocket Book
French edition",978-2210210233,732,21 x 1.3 x 28.5 cm,304,58.05,Lightly Used,,
Carrefour des sciences 9 STSE : manuel de l'élève,978-2765105664,N/A,N/A,N/A,165.95,Perfect,,
"Français 4e Cycle 4 - Grand Format
Edition 2016",979-1090910164,730,"19,5 cm × 27,0 cm × 1,8 cm",N/A,49.95,Lightly Used,,
"Français 3e Cycle 4 - Manuel élève - Grand Format
Edition 2016",979-1090910171,750,"19,5 cm × 27,0 cm × 2,0 cm",N/A,49.95,Lightly Used,,
"Déclic Maths 5e - Livre élève Edition 2010 Hardcover
French Edition",978-2011255945,N/A,19.51 x 1.50 x 27.51 cm,N/A,15,Perfect,,
"Enseignement moral et civique 3ème cahier Paperback – June 8 2016
French edition",978-2401020092,100,21 x 0.5 x 29.6 cm,80,16.95,Perfect,,https://www.amazon.ca/Enseignement-moral-civique-3%C3%A8me-cahier/dp/2401020098/ref=sr_1_1?crid=1XS4W3Z2H6CIW&keywords=enseignement+moral+et+civique&qid=1690680529&s=books&sprefix=enseignement+moral+et+civique%2Cstripbooks%2C81&sr=1-1
"Mon cahier de français 4e Pour lire , écrire et parler 2017 Paperback – May 15 2017",978-2410004632,300,21 x 0.8 x 28.6 cm,130,9.99,Perfect,,
Multi Origami,978-2896700868,839,20.2 x 3.5 x 22.8 cm,512,36.4,Perfect,,
Zone Marcel Dube,978-2760904385,204,12.8 x 1 x 19.7 cm,N/A,17.95,Lightly Used,,
Hors de moi - Didier van cauwelaert,978-2253112488,136,11 x 1.4 x 17.8 cm,228,13.95,Lightly Used,,
Shakespeare Othello,978-0451526854,‎ 90.7,N/A,N/A,7,Lightly Used,,
,,,,,,,,https://www.amazon.ca/cahier-fran%C3%A7ais-Pour-%C3%A9crire-parler/dp/2410004636/ref=sr_1_6?crid=2Y86ECK9MLPIB&keywords=Mon+cahier+de+francais+4e&qid=1690687751&s=books&sprefix=mon+cahier+de+francais+4e%2Cstripbooks%2C80&sr=1-6
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
TOTAL:,,,,,1587.82,,0,